elig,lwage,vet,yob
0,4.9024,0,50
0,5.7291002,0,53
0,5.2591,0,52
1,6.0138998,0,52
0,6.3238001,0,51
0,5.1536999,0,50
1,6.6201,0,51
1,4.0551,0,50
0,6.3443999,0,51
0,6.0323,0,52
1,6.1753998,0,52
0,4.9645,0,53
0,6.4222002,0,52
0,5.7884998,0,50
1,5.6868,0,52
0,5.4414001,1,51
0,5.9370999,0,51
0,4.9024,0,50
0,5.4822001,1,52
0,6.0475998,0,50
1,5.9521999,0,51
1,5.4013,1,53
0,5.204,0,52
0,5.5591998,0,51
0,6.0110002,0,50
0,2.9565001,1,51
0,5.4805999,0,52
0,4.5658998,1,50
0,5.0359998,0,50
0,5.0359998,0,52
1,5.5409002,1,51
0,5.3112001,0,53
1,5.6645999,0,53
0,5.5591998,0,53
0,4.2887001,0,50
0,5.2982998,0,52
0,5.8199,0,52
1,6.0475998,0,52
0,5.7291002,0,51
0,5.3390999,0,51
0,5.5215001,0,53
1,5.1160002,0,53
0,4.6444001,0,51
0,5.6844001,0,52
1,4.5658998,0,51
0,5.7038002,0,52
0,5.0233998,0,50
1,5.7537999,0,52
0,5.3673,0,51
0,5.4161,0,52
0,6.1346002,0,52
1,5.7779002,0,53
0,5.0106001,0,50
0,5.4414001,0,52
1,5.6778002,0,52
0,5.6645999,0,52
1,5.8579001,1,52
0,5.5956001,0,50
0,5.4461999,0,53
0,6.1753998,0,51
0,5.4414001,0,52
0,5.9521999,0,51
0,5.9521999,0,51
1,5.7537999,0,51
1,5.4414001,0,50
1,6.2146001,0,53
0,5.3079,0,52
0,5.7291002,0,51
1,5.7897,0,51
0,5.1536999,0,51
0,4.1086998,1,53
0,5.4036999,0,51
0,5.2982998,0,53
0,5.1536999,1,51
1,6.0246,0,50
1,5.2591,1,50
0,4.9698,0,51
0,5.2591,0,53
0,5.2077999,0,52
0,5.3544002,0,50
0,4.2915001,0,50
0,5.5956001,0,51
0,3.2189,0,51
0,5.5956001,0,51
1,5.0695,0,53
0,5.2982998,0,52
0,5.901,0,50
0,5.8469,0,51
1,4.704,0,50
1,5.6645999,0,50
0,5.1023998,1,50
0,5.6237001,0,50
0,5.2591,1,50
1,5.0106001,0,51
0,5.4414001,0,51
0,5.3737998,0,52
1,5.2591,0,53
0,5.7779002,0,51
0,5.6756001,0,52
1,5.4805999,0,51
0,5.296,0,51
